store_id,sku_id,system_stock,physical_stock,stockout,stock_variance,inventory_accuracy_pct
ST020,SKU0384,40,41,No,1,100.0
ST085,SKU0405,39,42,No,3,100.0
ST062,SKU0193,33,15,No,-18,45.5
ST066,SKU0384,43,26,No,-17,60.5
ST098,SKU0206,32,41,No,9,100.0
ST055,SKU0001,31,18,No,-13,58.1
ST003,SKU0337,30,31,No,1,100.0
ST098,SKU0290,32,32,No,0,100.0
ST014,SKU0316,31,21,No,-10,67.7
ST007,SKU0099,40,41,No,1,100.0
ST096,SKU0428,34,34,No,0,100.0
ST080,SKU0332,45,45,No,0,100.0
ST046,SKU0121,35,31,No,-4,88.6
ST087,SKU0152,35,43,No,8,100.0
ST068,SKU0122,29,18,No,-11,62.1
ST036,SKU0453,36,36,No,0,100.0
ST022,SKU0132,36,47,No,11,100.0
ST008,SKU0260,36,30,No,-6,83.3
ST017,SKU0138,30,16,No,-14,53.3
ST006,SKU0475,38,41,No,3,100.0
ST011,SKU0276,33,20,No,-13,60.6
ST099,SKU0350,33,38,No,5,100.0
ST004,SKU0348,31,33,No,2,100.0
ST025,SKU0247,32,16,No,-16,50.0
ST013,SKU0240,36,20,No,-16,55.6
ST057,SKU0496,35,30,No,-5,85.7
ST043,SKU0307,35,32,No,-3,91.4
ST082,SKU0490,34,33,No,-1,97.1
ST022,SKU0460,38,48,No,10,100.0
ST052,SKU0137,29,18,No,-11,62.1
ST062,SKU0316,33,29,No,-4,87.9
ST085,SKU0417,37,39,No,2,100.0
ST082,SKU0412,43,44,No,1,100.0
ST052,SKU0422,32,21,No,-11,65.6
ST037,SKU0274,30,44,No,14,100.0
ST065,SKU0111,33,31,No,-2,93.9
ST085,SKU0280,35,45,No,10,100.0
ST030,SKU0031,31,16,No,-15,51.6
ST020,SKU0290,28,27,No,-1,96.4
ST099,SKU0458,41,43,No,2,100.0
ST012,SKU0143,47,29,No,-18,61.7
ST062,SKU0118,24,34,No,10,100.0
ST055,SKU0058,25,25,No,0,100.0
ST039,SKU0424,27,36,No,9,100.0
ST072,SKU0067,32,40,No,8,100.0
