order_id,picker_id,pick_start,pick_end,items_picked,items_missing,pick_duration_minutes
ORD-029899,PICK00500,2026-09-02 03:34:00,2026-09-02 03:42:22.542371724,5,0,8.4
ORD-062514,PICK00982,2026-09-09 13:14:00,2026-09-09 13:33:59.251370412,11,1,20.0
ORD-022321,PICK00250,2026-09-30 03:50:00,2026-09-30 03:56:09.443139690,4,0,6.2
ORD-006008,PICK00938,2026-09-04 17:11:00,2026-09-04 17:16:15.984159870,1,0,5.3
ORD-079556,PICK00249,2026-09-15 02:33:00,2026-09-15 02:39:37.742548446,4,0,6.6
ORD-007798,PICK00899,2026-09-12 00:05:00,2026-09-12 00:15:43.013717982,5,0,10.7
ORD-096935,PICK00807,2026-09-18 02:16:00,2026-09-18 02:31:53.550513048,6,0,15.9
ORD-008046,PICK01073,2026-09-30 20:54:00,2026-09-30 21:11:57.459103608,7,0,18.0
ORD-032819,PICK00524,2026-09-19 16:37:00,2026-09-19 16:48:54.613661046,4,1,11.9
ORD-047660,PICK00172,2026-09-26 20:55:00,2026-09-26 21:08:55.012310760,5,0,13.9
ORD-064193,PICK00805,2026-09-08 11:55:00,2026-09-08 12:07:30.346097927,3,0,12.5
ORD-023647,PICK00932,2026-09-02 11:11:00,2026-09-02 11:22:47.591528190,4,0,11.8
ORD-036705,PICK00848,2026-09-22 02:43:00,2026-09-22 02:59:19.524908232,4,0,16.3
ORD-001252,PICK00760,2026-09-26 14:30:00,2026-09-26 14:43:57.894636972,8,0,14.0
ORD-026296,PICK00461,2026-09-07 20:13:00,2026-09-07 20:32:38.311410390,8,0,19.6
ORD-018086,PICK00433,2026-09-16 14:34:00,2026-09-16 14:38:55.101509328,3,0,4.9
ORD-059491,PICK00358,2026-09-10 01:35:00,2026-09-10 01:50:20.555446734,4,0,15.3
ORD-024152,PICK00483,2026-09-07 16:19:00,2026-09-07 16:37:29.525502822,10,0,18.5
ORD-029612,PICK00204,2026-09-12 01:38:00,2026-09-12 01:48:55.762598136,4,1,10.9
ORD-072929,PICK00048,2026-09-30 12:47:00,2026-09-30 12:54:11.599584786,5,0,7.2
ORD-060042,PICK00434,2026-09-01 04:27:00,2026-09-01 04:38:51.872988732,7,0,11.9
ORD-031728,PICK01004,2026-09-07 19:53:00,2026-09-07 20:03:46.755599916,4,1,10.8
