employee_id,role,store_id,shift,tasks_completed,tasks_pending
EMP01494,Store Associate,ST073,Afternoon,48,6
EMP01928,Picker,ST074,Evening,45,10
EMP01573,Rider Coordinator,ST058,Evening,44,8
EMP00056,Store Associate,ST069,Evening,49,8
EMP00268,Store Associate,ST055,Afternoon,53,3
EMP01992,Packer,ST067,Morning,46,6
EMP00298,Store Associate,ST082,Evening,54,5
EMP02339,Picker,ST079,Night,56,6
EMP01286,Store Associate,ST048,Morning,59,6
EMP00770,Packer,ST034,Morning,57,5
EMP01050,Picker,ST018,Afternoon,44,8
EMP01684,Store Associate,ST029,Evening,48,10
EMP00103,Rider Coordinator,ST022,Evening,51,7
EMP02257,Store Associate,ST063,Evening,45,5
EMP01095,Picker,ST052,Evening,40,5
EMP00211,Packer,ST008,Afternoon,47,5
EMP00872,Picker,ST076,Morning,51,5
EMP02067,Rider Coordinator,ST001,Evening,46,9
EMP01960,Picker,ST033,Evening,55,7
EMP01048,Picker,ST041,Morning,45,5
EMP01794,Picker,ST031,Evening,46,4
EMP00234,Store Associate,ST063,Morning,42,8
EMP02338,Packer,ST034,Evening,55,8
EMP01792,Picker,ST063,Morning,47,5
EMP01286,Packer,ST023,Night,56,5
EMP00443,Store Associate,ST090,Night,52,6
EMP02261,Store Associate,ST100,Morning,51,7
EMP01117,Store Associate,ST082,Evening,49,1
EMP01420,Store Associate,ST075,Afternoon,48,6
EMP01618,Picker,ST095,Evening,40,5
EMP00827,Store Associate,ST035,Afternoon,53,4
EMP00903,Store Associate,ST005,Morning,53,5
EMP00442,Picker,ST074,Evening,52,7
EMP02330,Picker,ST058,Night,54,6
EMP00478,Rider Coordinator,ST004,Evening,52,5
EMP00755,Picker,ST092,Morning,42,5
EMP00271,Store Associate,ST001,Morning,42,2
EMP00063,Store Associate,ST040,Afternoon,62,5
EMP01331,Store Associate,ST020,Morning,54,11
EMP01960,Picker,ST019,Evening,48,3
EMP01021,Picker,ST052,Evening,54,6
EMP01523,Picker,ST060,Night,50,9
EMP00316,Store Associate,ST026,Evening,50,7
EMP01963,Store Associate,ST067,Evening,44,9
EMP00145,Packer,ST078,Afternoon,49,10
EMP01685,Store Associate,ST018,Evening,47,6
EMP00419,Supervisor,ST095,Evening,47,4
EMP01131,Store Associate,ST089,Evening,54,10
EMP02374,Rider Coordinator,ST070,Evening,55,10
EMP01020,Picker,ST070,Afternoon,37,6
EMP00033,Picker,ST093,Night,61,8
EMP01078,Picker,ST035,Afternoon,53,3
EMP01693,Packer,ST024,Evening,47,9
EMP01916,Picker,ST008,Afternoon,67,5
EMP01107,Packer,ST065,Night,44,6
EMP01327,Picker,ST085,Evening,61,5
EMP00035,Picker,ST051,Evening,45,11
EMP01029,Picker,ST093,Afternoon,56,8
EMP01617,Rider Coordinator,ST071,Evening,47,7
EMP01509,Packer,ST098,Evening,46,7
